actual,proposed
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,8.594173431396484
0.0,16.570919036865234
0.0,24.596271514892578
0.0,32.32381057739258
0.0,39.506107330322266
188.84799194335938,46.6314697265625
205.9004364013672,53.383636474609375
219.5424041748047,59.536712646484375
236.59483337402344,65.59439849853516
250.2367401123047,71.25140380859375
263.87872314453125,76.62223052978516
277.5206298828125,81.78862762451172
291.16259765625,86.80902099609375
301.39404296875,94.66655731201172
304.80450439453125,97.33763122558594
301.39404296875,98.91302490234375
301.39404296875,100.03829956054688
301.39404296875,100.84207153320312
301.39404296875,101.41619110107422
301.39404296875,101.82627868652344
297.9835205078125,101.78666687011719
297.9835205078125,101.75837707519531
294.57305908203125,101.4056396484375
287.7520751953125,100.48863983154297
284.34161376953125,99.50111389160156
274.11016845703125,0.0
263.87872314453125,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,3.280115842819214
0.0,13.535329818725586
0.0,23.85321617126465
0.0,34.215858459472656
193.2340545654297,43.28036117553711
237.5703582763672,54.07782745361328
268.26470947265625,64.78302764892578
295.54864501953125,75.08979797363281
322.83245849609375,85.11197662353516
346.70587158203125,92.27066802978516
370.5793151855469,99.71170043945312
394.4527282714844,107.35440063476562
404.6841735839844,115.14114379882812
408.0946960449219,122.03321075439453
418.3261413574219,126.95610809326172
