actual,proposed
0.30000463128089905,0.18399947881698608
0.3015044629573822,0.18400074541568756
0.30300432443618774,0.1840018779039383
0.3045041859149933,0.18400433659553528
0.30750390887260437,0.18400560319423676
0.3090038001537323,0.1840071827173233
0.15238399803638458,0.0
0.15276455879211426,0.0
0.15529286861419678,0.0
0.15776026248931885,0.0
0.1601690798997879,0.0
0.1531791090965271,0.0
0.1467219442129135,0.0
0.13588865101337433,0.0
0.12945690751075745,0.0
0.11864502727985382,0.0
0.10351292043924332,0.0
0.0841178223490715,0.0
0.05006934329867363,0.0
0.026684356853365898,0.0
0.003488851711153984,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.20000000298023224
0.0,0.20000000298023224
0.0,0.20000000298023224
0.0,0.20000000298023224
0.0,0.20000000298023224
0.00997406430542469,0.20000000298023224
0.022319070994853973,0.20000000298023224
0.043141577392816544,0.20000000298023224
0.05925390496850014,0.20000000298023224
0.075090691447258,0.20000000298023224
0.09938178211450577,0.20000000298023224
0.11894083023071289,0.20000000298023224
0.1294858455657959,0.20000000298023224
0.15294551849365234,0.20000000298023224
0.1629919409751892,0.20000000298023224
0.17725719511508942,0.20000000298023224
0.19132819771766663,0.20000000298023224
0.20085477828979492,0.20000000298023224
0.20590564608573914,0.20000000298023224
0.2109055519104004,0.20000000298023224
0.22021591663360596,0.20000000298023224
0.2207016497850418,0.20000000298023224
0.22556547820568085,0.20000000298023224
0.2260282337665558,0.20000000298023224
0.22215233743190765,0.14271751046180725
0.21835651993751526,0.06806234270334244
0.20591920614242554,0.0
0.20239366590976715,0.0
0.1858556866645813,0.0
0.17391927540302277,0.0
0.1577950268983841,0.0
0.13753558695316315,0.0
0.11754992604255676,0.0
0.09782540798187256,0.0
0.07399089634418488,0.0
0.04609508067369461,0.0
0.018543172627687454,0.0
3.7017241993453354e-05,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.20000000298023224
0.0,0.20000000298023224
0.0,0.20000000298023224
0.0,0.20000000298023224
0.0,0.20000000298023224
0.0,0.20000000298023224
0.0,0.20000000298023224
0.0,0.20000000298023224
0.0,0.20000000298023224
0.0,0.20000000298023224
0.0,0.20000000298023224
0.0,0.20000000298023224
0.0,0.20000000298023224
0.0,0.20000000298023224
0.0,0.20000000298023224
0.004526791628450155,0.20000000298023224
0.014730039983987808,0.20000000298023224
0.024763567373156548,0.20000000298023224
0.030275912955403328,0.20000000298023224
0.031334370374679565,0.20000000298023224
0.036721475422382355,0.20000000298023224
0.037659935653209686,0.20000000298023224
0.03857304900884628,0.1803535521030426
0.04817967116832733,0.13590611517429352
0.05328323692083359,0.20000000298023224
0.06266822665929794,0.20000000298023224
0.05884190648794174,0.20000000298023224
0.050709523260593414,0.14590001106262207
0.03832881897687912,0.0
0.030473140999674797,0.0
0.027074240148067474,0.0
0.019349420443177223,0.0
0.012827565893530846,0.0
0.013964492827653885,0.0
0.006347143556922674,0.0
0.0031744157895445824,0.0
2.2924399672774598e-05,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.24316257238388062,0.0
0.24158048629760742,0.20000000298023224
0.240006223320961,0.0
0.238438680768013,0.0
0.2412363886833191,0.0
0.23962022364139557,0.008437498472630978
0.23801171779632568,0.0
0.23641033470630646,0.0
0.23481501638889313,0.0
0.2332252711057663,0.0
0.23164063692092896,0.0
0.22570110857486725,0.0
0.21546685695648193,0.0
0.2053537666797638,0.0
0.19535592198371887,0.0
0.18110856413841248,0.0
0.16702581942081451,0.0
0.15309925377368927,0.0
0.13932135701179504,0.0
0.12132584303617477,0.0
0.10352461785078049,0.0
0.08154941350221634,0.0
0.06416923552751541,0.0
0.03823497146368027,0.0
0.012577012181282043,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.20000000298023224
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.07118169963359833
0.0,0.11200126260519028
0.0,0.08093252032995224
0.0,0.006879109423607588
0.0,0.008520156145095825
0.0,0.009722950868308544
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.09990354627370834,0.0
0.0964675024151802,0.20000000298023224
0.10171008110046387,0.0
0.10679329186677933,0.0
0.1073642298579216,0.0
0.11220724880695343,0.0
0.11254680156707764,0.0
0.1171669065952301,0.0
0.1172918826341629,0.0
0.11734601855278015,0.0
0.12169082462787628,0.0
0.11269049346446991,0.0
0.10382921248674393,0.0
0.0993848368525505,0.0
0.09493425488471985,0.0
0.0861181765794754,0.0
0.07735525071620941,0.0
0.06864213943481445,0.0
0.05561661347746849,0.0
0.04269520938396454,0.0
0.029871657490730286,0.0
0.021500252187252045,0.0
0.013155543245375156,0.0
0.004835963249206543,0.0
0.18126925826072693,0.0
0.17852817475795746,0.20000000298023224
0.17804427444934845,0.0
0.17546765506267548,0.0
0.17300528287887573,0.0
0.15865902602672577,0.0
0.14754478633403778,0.0
0.13648511469364166,0.0
0.12547548115253448,0.0
0.11015394330024719,0.0
0.09057701379060745,0.0
0.07987604290246964,0.0
0.0648445338010788,0.0
0.04553968459367752,0.0
0.030735261738300323,0.0
0.016003474593162537,0.0
0.00569842429831624,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.20000000298023224
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
